x1	x2	x3	x4	x5	x6	x7
0.0	0.0	0.0	0.0	-4.305668884529817	0.0	0.0
0.0	-4.83641165546607	0.0	0.0	0.0	0.0	0.0
0.0	-4.003654445669939	0.0	-1.29706279287634	0.0	-1.0892716050768838	0.0
0.0	0.0	0.0	-4.822706247813394	-0.4628331076482519	0.0	0.0
0.0	0.0	0.0	-4.309357604052519	0.0	-0.6130771365270729	0.0
0.0	-3.3127119321928977	-4.487598372658442	0.0	-2.7423825882611306	-0.671302240907659	-3.766894568055581
-1.9912094759923837	-0.8596857399916837	-3.581832658039954	0.0	-2.7900592581006567	0.0	-2.0141301468638084
-0.5207858248488231	0.0	-0.2761066412002382	-0.5141370994642722	-0.7489803448144459	0.0	0.0
-1.2974422008498654	-4.1503629709518215	-3.08285151659467	0.0	0.0	0.0	-1.727344010473788
0.0	0.0	0.0	0.0	0.0	-4.446737263717075	0.0
